"","id","player_api_id","player_name","player_fifa_api_id","birthday","height","weight","Jersey Number","Club","Position","Nationality","Age","Appearances","Wins","Losses","Goals","Headed goals","Goals with right foot","Goals with left foot","Hit woodwork","Tackles","Blocked shots","Interceptions","Clearances","Headed Clearance","Assists","Passes","Passes per match","Big chances created","Crosses","Yellow cards","Red cards","Fouls","Offsides"
"1",2,155782,"Aaron Cresswell",189615,"1989-12-15 00:00:00",170.18,146,3,"West-Ham-United","Defender","England",30,190,61,75,8,0,1,7,5,212,28,230,515,256,18,6957,36.62,27,752,23,1,88,18
"2",72,581141,"Aboubakar Kamara",225541,"1995-03-07 00:00:00",177.8,168,47,"Fulham","Forward","France",25,15,2,10,3,0,3,0,0,8,0,1,5,2,0,262,17.47,1,20,2,0,26,7
"3",112,37234,"Adam Lallana",180819,"1988-05-10 00:00:00",172.72,161,14,"Brighton-and-Hove-Albion","Midfielder","England",32,198,98,50,30,1,12,15,8,322,91,166,126,49,28,6407,32.36,25,489,17,0,142,57
"4",200,40930,"Adrien Silva",184826,"1989-03-15 00:00:00",175.26,152,23,"Leicester-City","Midfielder","Portugal",31,14,4,7,0,0,0,0,0,24,5,15,1,1,1,512,36.57,1,4,3,0,9,0
"5",214,111930,"Ahmed El Mohamady",191005,"1987-09-09 00:00:00",182.88,172,27,"Aston-Villa","Defender","Egypt",33,183,48,91,6,4,2,0,4,267,19,246,342,162,13,6628,36.22,19,916,12,1,152,13
"6",345,351860,"Aleksandar Mitrovic",215716,"1994-09-16 00:00:00",187.96,181,9,"Fulham","Forward","Serbia",26,79,17,46,23,11,10,2,7,44,46,13,88,76,7,1841,23.3,6,14,12,2,117,51
"7",414,604785,"Alex Iwobi",213655,"1996-05-03 00:00:00",180.34,165,17,"Everton","Forward","Nigeria",24,126,59,41,12,2,9,1,4,99,46,44,33,15,16,3921,31.12,23,151,2,0,42,6
"9",425,196386,"Alex Oxlade-Chamberlain",198784,"1993-08-15 00:00:00",175.26,154,15,"Liverpool","Midfielder","England",27,196,114,41,16,0,14,2,8,188,87,133,75,25,22,4570,23.32,27,421,10,0,104,13
"10",482,169193,"Alexandre Lacazette",193301,"1991-05-28 00:00:00",175.26,161,9,"Arsenal","Forward","France",29,99,46,28,39,4,30,5,4,92,44,30,49,35,16,2045,20.66,15,60,11,0,127,62
"11",531,466890,"Alireza Jahanbakhsh",215871,"1993-10-08 00:00:00",180.34,165,16,"Brighton-and-Hove-Albion","Forward","Iran",27,31,8,16,2,0,2,0,2,41,10,14,3,0,0,401,12.94,2,48,2,0,21,7
